words,pos
ujë,noun
bukë,noun
shtëpi,noun
fëmijë,noun
punë,noun
jetë,noun
mik,noun
botë,noun
kohë,noun
ditë,noun
natë,noun
njeri,noun
grua,noun
burrë,noun
tokë,noun
qiell,noun
diell,noun
hënë,noun
zjarr,noun
erë,noun
shi,noun
borë,noun
pyll,noun
fushë,noun
qytet,noun
rrugë,noun
lumë,noun
det,noun
mal,noun
gur,noun
pemë,noun
lule,noun
zog,noun
mace,noun
qen,noun
kalë,noun
lopë,noun
derri,noun
peshk,noun
pulë,noun
qumësht,noun
verë,noun
çaj,noun
kafe,noun
sheqer,noun
kripë,noun
gjalpë,noun
libër,noun
letër,noun
muzikë,noun
art,noun
histori,noun
shkencë,noun
ligj,noun
pushtet,noun
liri,noun
paqe,noun
luftë,noun
fitore,noun
hero,noun
mjek,noun
mësues,noun
student,noun
prind,noun
vëlla,noun
motër,noun
fëmijë,noun
nënë,noun
baba,noun
gjysh,noun
gjyshe,noun
shoqe,noun
dashuri,noun
shpresë,noun
gëzim,noun
trishtim,noun
zemërim,noun
frikë,noun
ëndërr,noun
kujtim,noun
mendim,noun
arsye,noun
shpirt,noun
zemër,noun
trup,noun
mendje,noun
vullnet,noun
guxim,noun
bukuri,noun
e vërtetë,noun
mirësi,noun
keqësi,noun
madh,adjective
vogël,adjective
i ri,adjective
i vjetër,adjective
i bukur,adjective
i shëmtuar,adjective
i mirë,adjective
i keq,adjective
i bardhë,adjective
i zi,adjective
i kuq,adjective
i gjelbër,adjective
i verdhë,adjective
blu,adjective
i shpejtë,adjective
i ngadalshëm,adjective
i fortë,adjective
i dobët,adjective
i lartë,adjective
i ulët,adjective
i ngrohtë,adjective
i ftohtë,adjective
i rëndë,adjective
i lehtë,adjective
i pastër,adjective
i ndotur,adjective
i pasur,adjective
i varfër,adjective
i zgjuar,adjective
budalla,adjective
trim,adjective
frikacak,adjective
i lumtur,adjective
i trishtuar,adjective
i shëndetshëm,adjective
i sëmurë,adjective
i ri,adjective
i vjetër,adjective
i lirë,adjective
skllav,adjective
gjallë,adjective
i vdekur,adjective
i rëndësishëm,adjective
i parëndësishëm,adjective
i vërtetë,adjective
i rremë,adjective
komod,adjective
jokëndshëm,adjective
jam,verb
kam,verb
bëj,verb
flas,verb
lexoj,verb
shkruaj,verb
mësoj,verb
punoj,verb
jetoj,verb
dua,verb
urrej,verb
shoh,verb
dëgjoj,verb
mendoj,verb
di,verb
dua,verb
mund,verb
duhet,verb
vij,verb
shkoj,verb
vrapoj,verb
eci,verb
hipi,verb
noton,verb
këndon,verb
dansoj,verb
luaj,verb
ha,verb
pi,verb
fle,verb
zgjohem,verb
vesh,verb
blej,verb
shes,verb
jap,verb
marr,verb
ndihmoj,verb
ndërtoj,verb
shkatërroj,verb
zbuloj,verb
humbas,verb
gjej,verb
fitoj,verb
paguaj,verb
shikoje,verb
dëgjo,verb
