words,pos
ur,noun
ogi,noun
etxe,noun
haur,noun
lan,noun
bizitza,noun
lagun,noun
mundu,noun
denbora,noun
egun,noun
gau,noun
gizaki,noun
emakume,noun
gizon,noun
lur,noun
zeru,noun
eguzki,noun
ilargi,noun
su,noun
haize,noun
euri,noun
elur,noun
baso,noun
soro,noun
hiri,noun
kale,noun
ibai,noun
itsaso,noun
mendi,noun
harri,noun
zuhaitz,noun
lore,noun
txori,noun
katu,noun
txakur,noun
zaldi,noun
behi,noun
txerri,noun
arrain,noun
oilo,noun
esne,noun
ardo,noun
te,noun
kafe,noun
azukre,noun
gatz,noun
gurin,noun
liburu,noun
gutun,noun
musika,noun
arte,noun
historia,noun
zientzia,noun
lege,noun
botere,noun
askatasun,noun
bake,noun
gerra,noun
garaipena,noun
heroi,noun
mediku,noun
irakasle,noun
ikasle,noun
guraso,noun
anaia,noun
arreba,noun
haurrak,noun
ama,noun
aita,noun
aitona,noun
amona,noun
lagunartekoa,noun
maitasun,noun
itxaropen,noun
poza,noun
tristeza,noun
haserre,noun
beldur,noun
ametsa,noun
oroimen,noun
pentsamendu,noun
arrazoi,noun
arima,noun
bihotz,noun
gorputz,noun
adimen,noun
borondatea,noun
ausardia,noun
edertasun,noun
egia,noun
ontasun,noun
gaiztasun,noun
handi,adjective
txiki,adjective
berri,adjective
zahar,adjective
eder,adjective
itsusi,adjective
on,adjective
txar,adjective
zuri,adjective
beltz,adjective
gorri,adjective
berde,adjective
hori,adjective
urdin,adjective
azkar,adjective
astiro,adjective
indartsu,adjective
ahul,adjective
altu,adjective
baxu,adjective
bero,adjective
hotz,adjective
astun,adjective
arin,adjective
garbi,adjective
zikin,adjective
aberats,adjective
pobre,adjective
adimentsu,adjective
ergel,adjective
ausart,adjective
koldarra,adjective
zoriontsu,adjective
tristea,adjective
osasuntsu,adjective
gaixo,adjective
gazte,adjective
zahar,adjective
aske,adjective
esklabo,adjective
bizi,adjective
hila,adjective
garrantzitsu,adjective
garrantzirik gabe,adjective
egia,adjective
faltsua,adjective
erosoa,adjective
deserosoa,adjective
izan,verb
ukan,verb
egin,verb
hitz egin,verb
irakurri,verb
idatzi,verb
ikasi,verb
lan egin,verb
bizi,verb
maite,verb
gorroto,verb
ikusi,verb
entzun,verb
pentsatu,verb
jakin,verb
nahi,verb
ahal,verb
behar,verb
etorri,verb
joan,verb
korrika egin,verb
ibili,verb
zaldiz ibili,verb
igeri egin,verb
kantatu,verb
dantzatu,verb
jokatu,verb
jan,verb
edan,verb
lo egin,verb
esnatu,verb
jantzi,verb
erosi,verb
saldu,verb
eman,verb
hartu,verb
lagundu,verb
eraiki,verb
suntsitu,verb
aurkitu,verb
galdu,verb
bilatu,verb
irabazi,verb
ordaindu,verb
begiratu,verb
entzun,verb
