words,pos
вода,noun
хляб,noun
дом,noun
дете,noun
работа,noun
живот,noun
Приятел,noun
Свят,noun
Времена,noun
Ден,noun
Нощ,noun
Човек,noun
Жена,noun
Мъж,noun
Земя,noun
Небе,noun
Слънце,noun
Луна,noun
Огън,noun
Вятър,noun
Дъжд,noun
Сняг,noun
Гора,noun
Поле,noun
Град,noun
Улица,noun
Река,noun
Море,noun
Планини,noun
Камък,noun
Дърво,noun
Цвете,noun
Птица,noun
Коте,noun
Куче,noun
Кон,noun
Крава,noun
Свиня,noun
Риба,noun
Пиле,noun
Хляб,noun
Мляко,noun
Вино,noun
Вода,noun
Сок,noun
Чай,noun
Кафе,noun
Захар,noun
Сол,noun
Масло,noun
Книга,noun
Писмо,noun
Думи,noun
Музика,noun
Изкуство,noun
История,noun
Наука,noun
Закон,noun
Власт,noun
Свобода,noun
Мир,noun
Война,noun
Победа,noun
Герой,noun
Лекар,noun
Учител,noun
Студент,noun
Родител,noun
Брат,noun
Сестра,noun
Деца,noun
Майка,noun
Баща,noun
Дядо,noun
Баба,noun
Приятелка,noun
Любов,noun
Надежда,noun
Радост,noun
Тъга,noun
Гняв,noun
Страх,noun
Мечта,noun
Памет,noun
Мисъл,noun
Разум,noun
Душа,noun
Сърце,noun
Тяло,noun
Ума,noun
Воля,noun
Смелост,noun
Красота,noun
Истина,noun
Добро,noun
Зло,noun
Правда,noun
Вяра,noun
голям,adjective
малък,adjective
нов,adjective
стар,adjective
хубав,adjective
лош,adjective
добър,adjective
зъл,adjective
бял,adjective
черен,adjective
червен,adjective
зелен,adjective
жълт,adjective
син,adjective
бърз,adjective
бавен,adjective
силен,adjective
слаб,adjective
висок,adjective
нисък,adjective
топъл,adjective
студен,adjective
тежък,adjective
лек,adjective
чист,adjective
мръсен,adjective
богат,adjective
беден,adjective
умен,adjective
глупав,adjective
смел,adjective
страхлив,adjective
щастлив,adjective
тъжен,adjective
здрав,adjective
болен,adjective
млад,adjective
стар,adjective
свободен,adjective
роб,adjective
жив,adjective
мъртъв,adjective
важен,adjective
маловажен,adjective
истинен,adjective
лъжлив,adjective
красив,adjective
грозен,adjective
удобен,adjective
неудобен,adjective
съм,verb
имам,verb
правя,verb
говоря,verb
чета,verb
пиша,verb
уча,verb
работя,verb
живея,verb
обичам,verb
мразя,verb
виждам,verb
чувам,verb
мисля,verb
знам,verb
искам,verb
мога,verb
трябва,verb
идвам,verb
отивам,verb
бягам,verb
ходя,verb
яздя,verb
плувам,verb
пея,verb
танцувам,verb
играя,verb
ям,verb
пия,verb
спя,verb
събуждам,verb
обличам,verb
обличам,verb
купувам,verb
продавам,verb
давам,verb
взимам,verb
помагам,verb
пречим,verb
строя,verb
разрушавам,verb
откривам,verb
губя,verb
намирам,verb
печеля,verb
плащам,verb
дарявам,verb
гледам,verb
слушам,verb
говоря,verb
пея,verb
