words,pos
aigua,noun
pa,noun
casa,noun
nen,noun
feina,noun
vida,noun
amic,noun
món,noun
temps,noun
dia,noun
nit,noun
persona,noun
dona,noun
home,noun
terra,noun
cel,noun
sol,noun
lluna,noun
foc,noun
vent,noun
pluja,noun
neu,noun
bosc,noun
camp,noun
ciutat,noun
carrer,noun
riu,noun
mar,noun
muntanya,noun
pedra,noun
arbre,noun
flor,noun
ocell,noun
gat,noun
gos,noun
cavall,noun
vaca,noun
porc,noun
peix,noun
pollastre,noun
llet,noun
vi,noun
te,noun
cafè,noun
sucre,noun
sal,noun
mantega,noun
llibre,noun
carta,noun
música,noun
art,noun
història,noun
ciència,noun
llei,noun
poder,noun
llibertat,noun
pau,noun
guerra,noun
victòria,noun
heroi,noun
metge,noun
mestre,noun
estudiant,noun
pare,noun
germà,noun
germana,noun
fills,noun
mare,noun
avi,noun
àvia,noun
amiga,noun
amor,noun
esperança,noun
alegria,noun
tristesa,noun
ira,noun
por,noun
somni,noun
memòria,noun
pensament,noun
raó,noun
ànima,noun
cor,noun
cos,noun
ment,noun
voluntat,noun
valor,noun
bellesa,noun
veritat,noun
bé,noun
mal,noun
gran,adjective
petit,adjective
nou,adjective
vell,adjective
bonic,adjective
lleig,adjective
bo,adjective
dolent,adjective
blanc,adjective
negre,adjective
vermell,adjective
verd,adjective
groc,adjective
blau,adjective
ràpid,adjective
lent,adjective
fort,adjective
feble,adjective
alt,adjective
baix,adjective
càlid,adjective
fred,adjective
pesat,adjective
lleuger,adjective
net,adjective
brut,adjective
ric,adjective
pobre,adjective
intel·ligent,adjective
estúpid,adjective
valent,adjective
covard,adjective
feliç,adjective
trist,adjective
sa,adjective
malalt,adjective
jove,adjective
vell,adjective
lliure,adjective
esclau,adjective
viu,adjective
mort,adjective
important,adjective
sense importància,adjective
veritat,adjective
fals,adjective
còmode,adjective
incòmode,adjective
ser,verb
tenir,verb
fer,verb
parlar,verb
llegir,verb
escriure,verb
aprendre,verb
treballar,verb
viure,verb
estimar,verb
odiar,verb
veure,verb
sentir,verb
pensar,verb
saber,verb
voler,verb
poder,verb
necessitar,verb
venir,verb
anar,verb
córrer,verb
caminar,verb
muntar,verb
nedar,verb
cantar,verb
ballar,verb
jugar,verb
menjar,verb
beure,verb
dormir,verb
despertar,verb
vestir,verb
comprar,verb
vendre,verb
donar,verb
prendre,verb
ajudar,verb
construir,verb
destruir,verb
descobrir,verb
perdre,verb
trobar,verb
guanyar,verb
pagar,verb
mirar,verb
escoltar,verb
