words,pos
voda,noun
kruh,noun
dom,noun
dijete,noun
posao,noun
život,noun
prijatelj,noun
svijet,noun
vrijeme,noun
dan,noun
noć,noun
čovjek,noun
žena,noun
muškarac,noun
zemlja,noun
nebo,noun
sunce,noun
luna,noun
vatra,noun
vjetar,noun
kiša,noun
snijeg,noun
šuma,noun
polje,noun
grad,noun
ulica,noun
rijeka,noun
more,noun
planina,noun
kamen,noun
drvo,noun
cvijet,noun
ptica,noun
mačka,noun
pas,noun
konj,noun
krava,noun
svinja,noun
riba,noun
pile,noun
mlijeko,noun
vino,noun
čaj,noun
kava,noun
šećer,noun
sol,noun
maslac,noun
knjiga,noun
pismo,noun
glazba,noun
umjetnost,noun
povijest,noun
povijest,noun
zakon,noun
vlast,noun
sloboda,noun
mir,noun
rat,noun
pobjeda,noun
junak,noun
liječnik,noun
učitelj,noun
student,noun
roditelj,noun
brat,noun
sestra,noun
djeca,noun
majka,noun
otac,noun
djed,noun
baka,noun
prijateljica,noun
ljubav,noun
nada,noun
radost,noun
tuga,noun
ljutnja,noun
strah,noun
san,noun
sjećanje,noun
misao,noun
razum,noun
duša,noun
srce,noun
tijelo,noun
um,noun
volja,noun
hrabrost,noun
ljepota,noun
istina,noun
dobro,noun
zlo,noun
velik,adjective
mali,adjective
nov,adjective
star,adjective
lijep,adjective
ružan,adjective
dobar,adjective
loš,adjective
bijel,adjective
crn,adjective
crven,adjective
zelen,adjective
žut,adjective
plav,adjective
brz,adjective
spor,adjective
jak,adjective
slab,adjective
visok,adjective
nizak,adjective
topao,adjective
hladan,adjective
težak,adjective
lagan,adjective
čist,adjective
prljav,adjective
bogat,adjective
siromašan,adjective
pametan,adjective
glup,adjective
hrabar,adjective
kukavica,adjective
sretan,adjective
tužan,adjective
zdrav,adjective
bolestan,adjective
mlad,adjective
stari,adjective
slobodan,adjective
rob,adjective
živ,adjective
mrtav,adjective
važan,adjective
nevažan,adjective
istinit,adjective
lažan,adjective
udoban,adjective
neudoban,adjective
privlačan,adjective
odbojan,adjective
biti,verb
imati,verb
raditi,verb
govoriti,verb
čitati,verb
pisati,verb
učiti,verb
živjeti,verb
voljeti,verb
mrziti,verb
vidjeti,verb
čuti,verb
misliti,verb
znati,verb
htjeti,verb
moći,verb
trebati,verb
dolaziti,verb
ići,verb
trčati,verb
hodati,verb
jahati,verb
plivati,verb
pjevati,verb
plesati,verb
igrati,verb
jesti,verb
piti,verb
spavati,verb
ustajati,verb
oblačiti,verb
kupovati,verb
prodavati,verb
davati,verb
uzimati,verb
pomagati,verb
graditi,verb
rušiti,verb
otkrivati,verb
gubiti,verb
nalaziti,verb
zarađivati,verb
plaćati,verb
gledati,verb
slušati,verb
pričati,verb
razgovarati,verb
