words,pos
vesi,noun
leib,noun
kodu,noun
laps,noun
töö,noun
elu,noun
sõber,noun
maailm,noun
aeg,noun
päev,noun
öö,noun
inimene,noun
naine,noun
mees,noun
maa,noun
taevas,noun
päike,noun
kuu,noun
tuli,noun
tuul,noun
vihm,noun
lumi,noun
mets,noun
põld,noun
linn,noun
tänav,noun
jõgi,noun
meri,noun
mägi,noun
kivi,noun
puu,noun
lill,noun
lind,noun
kass,noun
koer,noun
hobune,noun
lehm,noun
siga,noun
kala,noun
kana,noun
piim,noun
vein,noun
tee,noun
kohv,noun
suhkur,noun
sool,noun
või,noun
raamat,noun
kiri,noun
muusika,noun
kunst,noun
ajalugu,noun
teadus,noun
seadus,noun
võim,noun
vabadus,noun
rahu,noun
sõda,noun
võit,noun
kangelane,noun
arst,noun
õpetaja,noun
õpilane,noun
vanem,noun
vend,noun
õde,noun
lapsed,noun
ema,noun
isa,noun
vanaisa,noun
vanaema,noun
sõbranna,noun
armastus,noun
lootus,noun
rõõm,noun
kurbus,noun
viha,noun
hirm,noun
unistus,noun
mälu,noun
mõte,noun
mõistus,noun
hing,noun
süda,noun
keha,noun
meel,noun
tahe,noun
julgus,noun
ilu,noun
tõde,noun
hea,noun
kurjus,noun
suur,adjective
väike,adjective
uus,adjective
vana,adjective
ilus,adjective
kole,adjective
hea,adjective
halb,adjective
valge,adjective
must,adjective
punane,adjective
roheline,adjective
kollane,adjective
sinine,adjective
kiire,adjective
aeglane,adjective
tugev,adjective
nõrk,adjective
pikk,adjective
lühike,adjective
soe,adjective
külm,adjective
raske,adjective
kerge,adjective
puhas,adjective
must,adjective
rikas,adjective
vaene,adjective
tark,adjective
rumal,adjective
julge,adjective
arg,adjective
õnnelik,adjective
kurb,adjective
terve,adjective
haige,adjective
noor,adjective
vana,adjective
vaba,adjective
ori,adjective
elus,adjective
surnud,adjective
tähtis,adjective
ebaoluline,adjective
tõeline,adjective
vale,adjective
mugav,adjective
ebamugav,adjective
atraktiivne,adjective
eemaletõukav,adjective
olema,verb
omama,verb
tegema,verb
rääkima,verb
lugema,verb
kirjutama,verb
õppima,verb
töötama,verb
elama,verb
armastama,verb
vihkama,verb
nägema,verb
kuulma,verb
mõtlema,verb
teadma,verb
tahma,verb
saama,verb
tulema,verb
minema,verb
jooksma,verb
kõndima,verb
ratsutama,verb
ujuma,verb
laulma,verb
tantsima,verb
mängima,verb
sööma,verb
jooma,verb
magama,verb
ärkama,verb
riietuma,verb
ostma,verb
müüma,verb
andma,verb
võtma,verb
aitama,verb
ehitama,verb
lõhkuma,verb
avastama,verb
kaotama,verb
leidma,verb
teenima,verb
maksma,verb
vaatama,verb
kuulama,verb
vestlema,verb
