words,pos
auga,noun
pan,noun
casa,noun
neno,noun
traballo,noun
vida,noun
amigo,noun
mundo,noun
tempo,noun
día,noun
noite,noun
persoa,noun
muller,noun
home,noun
terra,noun
ceo,noun
sol,noun
lúa,noun
lume,noun
vento,noun
chuvia,noun
neve,noun
bosque,noun
campo,noun
cidade,noun
rúa,noun
río,noun
mar,noun
montaña,noun
pedra,noun
árbore,noun
flor,noun
paxaro,noun
gato,noun
can,noun
cabalo,noun
vaca,noun
porco,noun
peixe,noun
polo,noun
leite,noun
viño,noun
té,noun
café,noun
azucre,noun
sal,noun
manteiga,noun
libro,noun
carta,noun
música,noun
arte,noun
historia,noun
ciencia,noun
lei,noun
poder,noun
liberdade,noun
paz,noun
guerra,noun
vitoria,noun
heroe,noun
médico,noun
mestre,noun
estudante,noun
pai,noun
irmán,noun
irmá,noun
fillos,noun
nai,noun
avó,noun
avoa,noun
amiga,noun
amor,noun
esperanza,noun
alegría,noun
tristeza,noun
rabia,noun
medo,noun
soño,noun
lembranza,noun
pensamento,noun
razón,noun
alma,noun
corazón,noun
corpo,noun
mente,noun
vontade,noun
valor,noun
beleza,noun
verdade,noun
ben,noun
mal,noun
grande,adjective
pequeno,adjective
novo,adjective
vello,adjective
bonito,adjective
feo,adjective
bo,adjective
malo,adjective
branco,adjective
negro,adjective
vermello,adjective
verde,adjective
amarelo,adjective
azul,adjective
rápido,adjective
lento,adjective
forte,adjective
débil,adjective
alto,adjective
baixo,adjective
quente,adjective
frío,adjective
pesado,adjective
lixeiro,adjective
limpo,adjective
sucio,adjective
rico,adjective
pobre,adjective
intelixente,adjective
estúpido,adjective
valente,adjective
covarde,adjective
feliz,adjective
triste,adjective
sa,adjective
enfermo,adjective
mozo,adjective
vello,adjective
libre,adjective
escravo,adjective
vivo,adjective
morto,adjective
importante,adjective
sen importancia,adjective
verdadeiro,adjective
falso,adjective
cómodo,adjective
incómodo,adjective
ser,verb
ter,verb
facer,verb
falar,verb
ler,verb
escribir,verb
aprender,verb
traballar,verb
vivir,verb
amar,verb
odiar,verb
ver,verb
escoitar,verb
pensar,verb
saber,verb
querer,verb
poder,verb
necesitar,verb
vir,verb
ir,verb
correr,verb
camiñar,verb
montar,verb
nadar,verb
cantar,verb
bailar,verb
xogar,verb
comer,verb
beber,verb
durmir,verb
espertar,verb
vestir,verb
mercar,verb
vender,verb
dar,verb
tomar,verb
axudar,verb
construír,verb
destruír,verb
descubrir,verb
perder,verb
atopar,verb
gañar,verb
pagar,verb
mirar,verb
escoitar,verb
