words,pos
νερό,noun
ψωμί,noun
σπίτι,noun
παιδί,noun
δουλειά,noun
ζωή,noun
φίλος,noun
κόσμος,noun
χρόνος,noun
μέρα,noun
νύχτα,noun
άνθρωπος,noun
γυναίκα,noun
άνδρας,noun
γη,noun
ουρανός,noun
ήλιος,noun
σελήνη,noun
φωτιά,noun
άνεμος,noun
βροχή,noun
χιόνι,noun
δάσος,noun
χωράφι,noun
πόλη,noun
δρόμος,noun
ποτάμι,noun
θάλασσα,noun
βουνό,noun
πέτρα,noun
δέντρο,noun
λουλούδι,noun
πουλί,noun
γάτα,noun
σκύλος,noun
άλογο,noun
αγελάδα,noun
χοίρος,noun
ψάρι,noun
κοτόπουλο,noun
γάλα,noun
κρασί,noun
τσάι,noun
καφές,noun
ζάχαρη,noun
αλάτι,noun
βούτυρο,noun
βιβλίο,noun
γράμμα,noun
μουσική,noun
τέχνη,noun
ιστορία,noun
επιστήμη,noun
νόμος,noun
εξουσία,noun
ελευθερία,noun
ειρήνη,noun
πόλεμος,noun
νίκη,noun
ήρωας,noun
γιατρός,noun
δάσκαλος,noun
φοιτητής,noun
γονέας,noun
αδερφός,noun
αδερφή,noun
παιδιά,noun
μητέρα,noun
πατέρας,noun
παππούς,noun
γιαγιά,noun
φίλη,noun
αγάπη,noun
ελπίδα,noun
χαρά,noun
λύπη,noun
θυμός,noun
φόβος,noun
όνειρο,noun
μνήμη,noun
σκέψη,noun
λογική,noun
ψυχή,noun
καρδιά,noun
σώμα,noun
μυαλό,noun
θέληση,noun
θάρρος,noun
ομορφιά,noun
αλήθεια,noun
καλό,noun
κακό,noun
μεγάλος,adjective
μικρός,adjective
νέος,adjective
παλιός,adjective
όμορφος,adjective
άσχημος,adjective
καλός,adjective
κακός,adjective
άσπρος,adjective
μαύρος,adjective
κόκκινος,adjective
πράσινος,adjective
κίτρινος,adjective
μπλε,adjective
γρήγορος,adjective
αργός,adjective
δυνατός,adjective
αδύναμος,adjective
ψηλός,adjective
κοντός,adjective
ζεστός,adjective
κρύος,adjective
βαρύς,adjective
ελαφρύς,adjective
καθαρός,adjective
βρώμικος,adjective
πλούσιος,adjective
φτωχός,adjective
έξυπνος,adjective
ανόητος,adjective
γενναίος,adjective
δειλός,adjective
χαρούμενος,adjective
λυπημένος,adjective
υγιής,adjective
άρρωστος,adjective
νέος,adjective
γέρος,adjective
ελεύθερος,adjective
δούλος,adjective
ζωντανός,adjective
νεκρός,adjective
σημαντικός,adjective
ασήμαντος,adjective
αληθινός,adjective
ψεύτικος,adjective
άνετος,adjective
άβολος,adjective
είμαι,verb
έχω,verb
κάνω,verb
μιλάω,verb
διαβάζω,verb
γράφω,verb
μαθαίνω,verb
δουλεύω,verb
ζω,verb
αγαπάω,verb
μισώ,verb
βλέπω,verb
ακούω,verb
σκέφτομαι,verb
ξέρω,verb
θέλω,verb
μπορώ,verb
χρειάζομαι,verb
έρχομαι,verb
πηγαίνω,verb
τρέχω,verb
περπατάω,verb
ιππεύω,verb
κολυμπάω,verb
τραγουδάω,verb
χορεύω,verb
παίζω,verb
τρώω,verb
πίνω,verb
κοιμάμαι,verb
ξυπνάω,verb
ντύνομαι,verb
αγοράζω,verb
πουλάω,verb
δίνω,verb
παίρνω,verb
βοηθάω,verb
χτίζω,verb
καταστρέφω,verb
ανακαλύπτω,verb
χάνω,verb
βρίσκω,verb
κερδίζω,verb
πληρώνω,verb
κοιτάω,verb
ακούω,verb
