words,pos
vatn,noun
brauð,noun
heimili,noun
barn,noun
vinna,noun
líf,noun
vinur,noun
heimur,noun
tími,noun
dagur,noun
nótt,noun
maður,noun
kona,noun
karmaður,noun
jörð,noun
himinn,noun
sól,noun
tungl,noun
eldur,noun
vindur,noun
rigning,noun
snjór,noun
skógur,noun
akur,noun
borg,noun
gata,noun
á,noun
sjór,noun
fjall,noun
steinn,noun
tré,noun
blóm,noun
fugl,noun
köttur,noun
hundur,noun
hestur,noun
kýr,noun
svín,noun
fiskur,noun
hænsn,noun
mjólk,noun
vín,noun
te,noun
kaffi,noun
sykur,noun
salt,noun
smjör,noun
bók,noun
bréf,noun
tónlist,noun
list,noun
saga,noun
vísindi,noun
lögur,noun
vald,noun
frelsi,noun
friður,noun
stríð,noun
sigur,noun
hetja,noun
læknir,noun
kennari,noun
nemandi,noun
foreldri,noun
bróðir,noun
systir,noun
börn,noun
móðir,noun
faðir,noun
afi,noun
amma,noun
vinkona,noun
ást,noun
von,noun
gleði,noun
sorg,noun
reiði,noun
ótti,noun
draumur,noun
minni,noun
hugsunn,noun
skynsemi,noun
sál,noun
hjarta,noun
líkami,noun
hugur,noun
vilji,noun
hugrekki,noun
fegurð,noun
sannleikur,noun
gott,noun
illt,noun
stór,adjective
lítill,adjective
nýr,adjective
gamall,adjective
fallegur,adjective
ljótur,adjective
góður,adjective
illur,adjective
hvítur,adjective
svartur,adjective
rauður,adjective
grœnn,adjective
gulur,adjective
blár,adjective
fljótur,adjective
hægur,adjective
sterkur,adjective
veikur,adjective
hár,adjective
lágur,adjective
hlýr,adjective
kaldur,adjective
þungur,adjective
léttur,adjective
hreinn,adjective
óhreinn,adjective
ríkur,adjective
fátækur,adjective
gáfaður,adjective
heimskur,adjective
djarfur,adjective
huglauss,adjective
hamingjusamur,adjective
dapur,adjective
heilbrigður,adjective
veikur,adjective
ungur,adjective
gamall,adjective
frjáls,adjective
þræll,adjective
lifandi,adjective
dauður,adjective
mikilvægur,adjective
þýðingarlaus,adjective
sannur,adjective
falskur,adjective
þægilegur,adjective
óþægilegur,adjective
vera,verb
hafa,verb
gera,verb
tala,verb
lesa,verb
skrifa,verb
læra,verb
vinna,verb
lifa,verb
elska,verb
hata,verb
sjá,verb
heyra,verb
hugsa,verb
vita,verb
vilja,verb
geta,verb
þurfa,verb
koma,verb
fara,verb
hlaupa,verb
ganga,verb
ríða,verb
synda,verb
syngja,verb
dansa,verb
leika,verb
borða,verb
drekka,verb
sofa,verb
vakna,verb
klæðast,verb
kaupa,verb
selja,verb
gefa,verb
taka,verb
hjálpa,verb
byggja,verb
eyðileggja,verb
uppgötva,verb
týna,verb
finna,verb
vinna,verb
borga,verb
horfa,verb
hlusta,verb
