words,pos
ūdens,noun
maize,noun
māja,noun
bērns,noun
darbs,noun
dzīve,noun
draugs,noun
pasaule,noun
laiks,noun
diena,noun
nakts,noun
cilvēks,noun
sieviete,noun
vīrietis,noun
zeme,noun
debesis,noun
saule,noun
mēness,noun
uguns,noun
vējš,noun
lietus,noun
sniegs,noun
mežs,noun
lauks,noun
pilsēta,noun
iela,noun
upe,noun
jūra,noun
kalns,noun
akmens,noun
koks,noun
zieds,noun
putns,noun
kaķis,noun
suns,noun
zirgs,noun
govs,noun
cūka,noun
zivs,noun
vista,noun
piens,noun
vīns,noun
tēja,noun
kafija,noun
cukurs,noun
sāls,noun
sviests,noun
grāmata,noun
vēstule,noun
mūzika,noun
māksla,noun
vēsture,noun
zinātne,noun
likums,noun
vara,noun
brīvība,noun
miers,noun
karš,noun
uzvara,noun
varonis,noun
ārsts,noun
skolotājs,noun
students,noun
vecāks,noun
brālis,noun
māsa,noun
bērni,noun
māte,noun
tēvs,noun
vectēvs,noun
vecmāmiņa,noun
draudzene,noun
mīlestība,noun
cerība,noun
prieks,noun
bēdas,noun
dusmas,noun
bailes,noun
sapnis,noun
atmiņa,noun
doma,noun
saprāts,noun
dvēsele,noun
sirds,noun
ķermenis,noun
prāts,noun
griba,noun
drosme,noun
skaistums,noun
patiesība,noun
labums,noun
ļaunums,noun
liels,adjective
mazs,adjective
jauns,adjective
vecs,adjective
skaists,adjective
neglīts,adjective
labs,adjective
slikts,adjective
balts,adjective
melns,adjective
sarkans,adjective
zaļš,adjective
dzeltens,adjective
zils,adjective
ātrs,adjective
lēns,adjective
stiprs,adjective
vājš,adjective
augsts,adjective
zems,adjective
silts,adjective
auksts,adjective
smags,adjective
viegls,adjective
tīrs,adjective
netīrs,adjective
bagāts,adjective
nabags,adjective
gudrs,adjective
muļķīgs,adjective
drošs,adjective
gļēvs,adjective
laimīgs,adjective
skumjš,adjective
vesels,adjective
slims,adjective
jauns,adjective
vecs,adjective
brīvs,adjective
vergs,adjective
dzīvs,adjective
miris,adjective
svarīgs,adjective
maznozīmīgs,adjective
patiess,adjective
viltīgs,adjective
ērts,adjective
neērts,adjective
būt,verb
iegūt,verb
darīt,verb
runāt,verb
lasīt,verb
rakstīt,verb
mācīties,verb
strādāt,verb
dzīvot,verb
mīlēt,verb
ienīst,verb
redzēt,verb
dzirdēt,verb
domāt,verb
zināt,verb
gribēt,verb
varēt,verb
vajadzēt,verb
nākt,verb
iet,verb
skriet,verb
staigāt,verb
jāt,verb
peldēt,verb
dziedāt,verb
dejot,verb
spēlēt,verb
ēst,verb
dzert,verb
gulēt,verb
mosties,verb
ģērbties,verb
pirkt,verb
pārdot,verb
dot,verb
ņemt,verb
palīdzēt,verb
celt,verb
nojaukt,verb
atklāt,verb
zaudēt,verb
atrast,verb
nopelnīt,verb
maksāt,verb
skatīties,verb
klausīties,verb
