words,pos
vanduo,noun
duona,noun
namai,noun
vaikas,noun
darbas,noun
gyvenimas,noun
draugas,noun
pasaulis,noun
laikas,noun
diena,noun
naktis,noun
žmogus,noun
moteris,noun
vyras,noun
žemė,noun
dangus,noun
saulė,noun
mėnulis,noun
ugnis,noun
vėjas,noun
lietus,noun
sniegas,noun
miškas,noun
laukas,noun
miestas,noun
gatvė,noun
upė,noun
jūra,noun
kalnas,noun
akmuo,noun
medis,noun
gėlė,noun
paukštis,noun
katė,noun
šuo,noun
arklys,noun
karvė,noun
kiaulė,noun
žuvis,noun
višta,noun
pienas,noun
vynas,noun
arbata,noun
kava,noun
cukrus,noun
druska,noun
sviestas,noun
knyga,noun
laiškas,noun
muzika,noun
menas,noun
istorija,noun
mokslas,noun
įstatymas,noun
valdžia,noun
laisvė,noun
taika,noun
karas,noun
pergalė,noun
herojus,noun
gydytojas,noun
mokytojas,noun
studentas,noun
tėvai,noun
brolis,noun
sesuo,noun
vaikai,noun
motina,noun
tėvas,noun
senelis,noun
senelė,noun
draugė,noun
meilė,noun
viltis,noun
džiaugsmas,noun
liūdesys,noun
pyktis,noun
baimė,noun
svajonė,noun
atmintis,noun
mintis,noun
protas,noun
siela,noun
širdis,noun
kūnas,noun
smegenys,noun
valia,noun
drąsa,noun
grožis,noun
tiesa,noun
gėris,noun
blogis,noun
didelis,adjective
mažas,adjective
naujas,adjective
senas,adjective
gražus,adjective
bjaurus,adjective
geras,adjective
blogas,adjective
baltas,adjective
juodas,adjective
raudonas,adjective
žalias,adjective
geltonas,adjective
mėlynas,adjective
greitas,adjective
lėtas,adjective
stiprus,adjective
silpnas,adjective
aukštas,adjective
žemas,adjective
šiltas,adjective
šaltas,adjective
sunkus,adjective
lengvas,adjective
švarus,adjective
nešvarus,adjective
turtingas,adjective
vargšas,adjective
protingas,adjective
kvailas,adjective
drąsus,adjective
bailys,adjective
laimingas,adjective
liūdnas,adjective
sveikas,adjective
sergantis,adjective
jaunas,adjective
senas,adjective
laisvas,adjective
vergas,adjective
gyvas,adjective
miręs,adjective
svarbus,adjective
nereikšmingas,adjective
tikras,adjective
melagis,adjective
patogus,adjective
nepatogus,adjective
būti,verb
turėti,verb
daryti,verb
kalbėti,verb
skaityti,verb
rašyti,verb
mokytis,verb
dirbti,verb
gyventi,verb
mylėti,verb
nekęsti,verb
matyti,verb
girdėti,verb
galvoti,verb
žinoti,verb
norėti,verb
galėti,verb
reikėti,verb
ateiti,verb
eiti,verb
bėgti,verb
vaikščioti,verb
joti,verb
plaukti,verb
dainuoti,verb
šokti,verb
žaisti,verb
valgyti,verb
gerti,verb
miegoti,verb
keltis,verb
rengti,verb
pirkti,verb
parduoti,verb
duoti,verb
imti,verb
padėti,verb
statyti,verb
griauti,verb
atrasti,verb
prarasti,verb
rasti,verb
uždirbti,verb
mokėti,verb
žiūrėti,verb
klausytis,verb
