words,pos
Waasser,noun
Brout,noun
Heem,noun
Kand,noun
Aarbecht,noun
Liewen,noun
Frënd,noun
Welt,noun
Zäit,noun
Dag,noun
Nuecht,noun
Mënsch,noun
Fra,noun
Mann,noun
Äerd,noun
Himmel,noun
Sonn,noun
Mound,noun
Feier,noun
Wand,noun
Reen,noun
Schnéi,noun
Bësch,noun
Feld,noun
Stad,noun
Strooss,noun
Floss,noun
Mier,noun
Bierg,noun
Steen,noun
Bam,noun
Blumm,noun
Vugel,noun
Kaz,noun
Hond,noun
Päerd,noun
Kou,noun
Schwäin,noun
Fësch,noun
Poulet,noun
Mëllech,noun
Wäin,noun
Téi,noun
Kaffi,noun
Zocker,noun
Salz,noun
Botter,noun
Buch,noun
Bréif,noun
Musek,noun
Konscht,noun
Geschicht,noun
Wëssenschaft,noun
Gesetz,noun
Muecht,noun
Fräiheet,noun
Fridden,noun
Krich,noun
Victoire,noun
Held,noun
Dokter,noun
Enseignant,noun
Student,noun
Elterendeel,noun
Brudder,noun
Schwëster,noun
Kanner,noun
Mamm,noun
Papp,noun
Grousspa,noun
Grossmamm,noun
Frëndin,noun
Léift,noun
Hoffnung,noun
Freed,noun
Chagrin,noun
Ärger,noun
Angscht,noun
Dram,noun
Erënnerung,noun
Gedanken,noun
Verstand,noun
Séil,noun
Häerz,noun
Kierper,noun
Geescht,noun
Wëllen,noun
Courage,noun
Schéinheet,noun
Wouerheet,noun
Gudd,noun
Béis,noun
grouss,adjective
kleng,adjective
nei,adjective
al,adjective
schéin,adjective
hässlech,adjective
gutt,adjective
schlecht,adjective
wäiss,adjective
schwaarz,adjective
rout,adjective
gréng,adjective
giel,adjective
blo,adjective
séier,adjective
lues,adjective
staark,adjective
schwaach,adjective
héich,adjective
niddreg,adjective
waarm,adjective
kal,adjective
schwéier,adjective
liicht,adjective
propper,adjective
dreckeg,adjective
räich,adjective
aarm,adjective
schlau,adjective
dumm,adjective
couragéiert,adjective
feig,adjective
glécklech,adjective
traurig,adjective
gesond,adjective
krank,adjective
jonk,adjective
al,adjective
fräi,adjective
Sklave,adjective
lëwendeg,adjective
dout,adjective
wichteg,adjective
onwichteg,adjective
wouer,adjective
falsch,adjective
komfortabel,adjective
onkomfortabel,adjective
sinn,verb
hunn,verb
maachen,verb
schwätzen,verb
liesen,verb
schreiwen,verb
léieren,verb
schaffen,verb
liewen,verb
léiwen,verb
haassen,verb
gesinn,verb
héieren,verb
denken,verb
wëssen,verb
wëllen,verb
kënnen,verb
brauchen,verb
kommen,verb
goen,verb
lafen,verb
goen,verb
reide,verb
schwämmen,verb
sangen,verb
danzen,verb
spillen,verb
iessen,verb
drénken,verb
schlofen,verb
opwächen,verb
ukleiden,verb
kafen,verb
verkafen,verb
ginn,verb
huelen,verb
hëllefen,verb
bauen,verb
zerstéieren,verb
entdecken,verb
verlieren,verb
fannen,verb
verdéngen,verb
bezuelen,verb
kucken,verb
lauschteren,verb
