words,pos
вода,noun
леб,noun
дом,noun
дете,noun
работа,noun
живот,noun
пријател,noun
свет,noun
Времена,noun
ден,noun
ноќ,noun
Човек,noun
жена,noun
маж,noun
земја,noun
небо,noun
сонце,noun
Месечина,noun
оган,noun
ветер,noun
дожд,noun
снег,noun
шума,noun
поле,noun
град,noun
улица,noun
река,noun
море,noun
Планини,noun
камен,noun
дрво,noun
цвет,noun
птица,noun
маче,noun
куче,noun
коњ,noun
крава,noun
свиња,noun
риба,noun
пиле,noun
млеко,noun
вино,noun
чај,noun
кафе,noun
шеќер,noun
сол,noun
масло,noun
книга,noun
писмо,noun
музика,noun
уметност,noun
историја,noun
наука,noun
закон,noun
власт,noun
слобода,noun
мир,noun
Война,noun
победа,noun
јунак,noun
лекар,noun
учител,noun
студент,noun
родител,noun
брат,noun
сестра,noun
деца,noun
Майка,noun
татко,noun
дедо,noun
баба,noun
Приятелка,noun
љубов,noun
надеж,noun
радост,noun
тага,noun
гнев,noun
страв,noun
Соненце,noun
Pamет,noun
Мисла,noun
разум,noun
душа,noun
срце,noun
тело,noun
Ума,noun
Воља,noun
смелост,noun
убавина,noun
вистина,noun
добро,noun
зло,noun
голем,adjective
мал,adjective
нов,adjective
стар,adjective
убав,adjective
Лош,adjective
добар,adjective
зол,adjective
бел,adjective
Черен,adjective
Червен,adjective
зелен,adjective
жолт,adjective
син,adjective
брз,adjective
бавен,adjective
силен,adjective
слаб,adjective
висок,adjective
Нисък,adjective
топол,adjective
ладен,adjective
тежок,adjective
лесен,adjective
чист,adjective
нечист,adjective
богат,adjective
сиромашен,adjective
умен,adjective
Глупав,adjective
храбар,adjective
плашлив,adjective
Схапав,adjective
тажен,adjective
здрав,adjective
болен,adjective
млад,adjective
стар,adjective
слободен,adjective
роб,adjective
жив,adjective
мртов,adjective
важен,adjective
Маловажен,adjective
вистински,adjective
лажен,adjective
угоден,adjective
неугоден,adjective
сум,verb
имам,verb
правам,verb
зборувам,verb
читам,verb
пишувам,verb
учам,verb
работам,verb
живеам,verb
сакам,verb
мразам,verb
гледам,verb
слушам,verb
мислам,verb
знам,verb
сакам,verb
можам,verb
треба,verb
доаѓам,verb
одам,verb
трчам,verb
одам,verb
јавам,verb
пливам,verb
пеам,verb
танцувам,verb
играм,verb
јадам,verb
пијам,verb
спијам,verb
будам,verb
облекувам,verb
купувам,verb
продавам,verb
давам,verb
земам,verb
помагам,verb
градам,verb
уривам,verb
откривам,verb
губам,verb
наоѓам,verb
заработувам,verb
плаќам,verb
гледам,verb
слушам,verb
