words,pos
ilma,noun
ħobż,noun
dar,noun
tifel,noun
xogħol,noun
ħajja,noun
ħabib,noun
dinja,noun
ħin,noun
jum,noun
lejl,noun
bniedem,noun
mara,noun
raġel,noun
art,noun
sema,noun
xemx,noun
qamar,noun
nar,noun
riħ,noun
xita,noun
silġ,noun
foresta,noun
għalqa,noun
belt,noun
triq,noun
xmara,noun
baħar,noun
muntanja,noun
ġebla,noun
siġra,noun
fjura,noun
tajra,noun
qattus,noun
kelb,noun
żiemel,noun
baqra,noun
ħanżira,noun
ħuta,noun
tiġieġa,noun
ħalib,noun
inbid,noun
tè,noun
kafè,noun
zokkor,noun
melħ,noun
butir,noun
ktieb,noun
ittra,noun
mużika,noun
arti,noun
storja,noun
xjenza,noun
liġi,noun
setgħa,noun
libertà,noun
paċi,noun
gwerra,noun
rebħa,noun
eroj,noun
tabib,noun
għalliem,noun
student,noun
ġenitur,noun
ħu,noun
oħt,noun
ulied,noun
omm,noun
missier,noun
nannu,noun
nanna,noun
ħabiba,noun
imħabba,noun
tama,noun
ferħ,noun
dwejjaq,noun
rabja,noun
biża,noun
ħolma,noun
memorja,noun
ħsieb,noun
raġuni,noun
ruħ,noun
qalb,noun
ġisem,noun
moħħ,noun
rieda,noun
kuraġġ,noun
ġmiel,noun
verità,noun
tajjeb,noun
ħażen,noun
kbir,adjective
żgħir,adjective
ġdid,adjective
qadim,adjective
sabiħ,adjective
ikrah,adjective
tajjeb,adjective
ħażin,adjective
abjad,adjective
iswed,adjective
aħmar,adjective
aħdar,adjective
isfar,adjective
blù,adjective
mgħaġġel,adjective
bil-mod,adjective
qawwi,adjective
dgħajjef,adjective
għoli,adjective
baxx,adjective
sħun,adjective
kiesaħ,adjective
tqil,adjective
ħafif,adjective
nadif,adjective
maħmuġ,adjective
għani,adjective
fqir,adjective
intelliġenti,adjective
iblah,adjective
kuraġġuż,adjective
bla kuraġġ,adjective
ferħan,adjective
mdejjaq,adjective
f'saħħtu,adjective
marid,adjective
żagħżugħ,adjective
xiħ,adjective
ħieles,adjective
ilsir,adjective
ħaj,adjective
mejjet,adjective
importanti,adjective
bla importanza,adjective
veru,adjective
falz,adjective
komdu,adjective
skomdu,adjective
jkun,verb
ikollu,verb
jagħmel,verb
jitkellem,verb
jaqra,verb
jikteb,verb
jitgħallem,verb
jaħdem,verb
jgħix,verb
iħobb,verb
jobgħod,verb
jara,verb
jisma,verb
jaħseb,verb
jaf,verb
irid,verb
jista,verb
jeħtieġ,verb
jiġi,verb
jmur,verb
jigri,verb
jimxi,verb
jirkeb,verb
jgħum,verb
jkanta,verb
jiżfen,verb
jilgħab,verb
jiekol,verb
jixrob,verb
jorqod,verb
iqum,verb
jilbes,verb
jixtri,verb
ibigħ,verb
jagħti,verb
jieħu,verb
jgħin,verb
jibni,verb
jeħel,verb
jiskopri,verb
jitlef,verb
isib,verb
jaqla,verb
iħallas,verb
iħares,verb
jisma,verb
