words,pos
apă,noun
pâine,noun
casă,noun
copil,noun
muncă,noun
viață,noun
prieten,noun
lume,noun
timp,noun
zi,noun
noapte,noun
om,noun
femeie,noun
bărbat,noun
pământ,noun
cer,noun
soare,noun
lună,noun
foc,noun
vânt,noun
ploaie,noun
zăpadă,noun
pădure,noun
câmp,noun
oraș,noun
stradă,noun
râu,noun
mare,noun
munte,noun
piatră,noun
copac,noun
floare,noun
pasăre,noun
pisică,noun
câine,noun
cal,noun
vacă,noun
porc,noun
pește,noun
pui,noun
lapte,noun
vin,noun
ceai,noun
cafea,noun
zahăr,noun
sare,noun
unt,noun
carte,noun
scrisoare,noun
muzică,noun
artă,noun
istorie,noun
știință,noun
lege,noun
putere,noun
libertate,noun
pace,noun
război,noun
victorie,noun
erou,noun
doctor,noun
profesor,noun
student,noun
părinte,noun
frate,noun
soră,noun
copii,noun
mamă,noun
tată,noun
bunic,noun
bunică,noun
prietenă,noun
iubire,noun
speranță,noun
bucurie,noun
tristețe,noun
furie,noun
frică,noun
vis,noun
amintire,noun
gând,noun
rațiune,noun
suflet,noun
inimă,noun
corp,noun
minte,noun
voință,noun
curaj,noun
frumusețe,noun
adevăr,noun
bine,noun
rău,noun
mare,adjective
mic,adjective
nou,adjective
vechi,adjective
frumos,adjective
urât,adjective
bun,adjective
rău,adjective
alb,adjective
negru,adjective
roșu,adjective
verde,adjective
galben,adjective
albastru,adjective
rapid,adjective
lent,adjective
puternic,adjective
slab,adjective
înalt,adjective
scund,adjective
cald,adjective
rece,adjective
greu,adjective
ușor,adjective
curat,adjective
murdar,adjective
bogat,adjective
sărac,adjective
deștept,adjective
prost,adjective
curajos,adjective
laș,adjective
fericit,adjective
trist,adjective
sănătos,adjective
bolnav,adjective
tânăr,adjective
bătrân,adjective
liber,adjective
sclav,adjective
viu,adjective
mort,adjective
important,adjective
neimportant,adjective
adevărat,adjective
fals,adjective
confortabil,adjective
inconfortabil,adjective
fi,verb
avea,verb
face,verb
vorbi,verb
citi,verb
scrie,verb
învăța,verb
lucra,verb
trăi,verb
iubi,verb
urî,verb
vedea,verb
auzi,verb
gândi,verb
ști,verb
vrea,verb
putea,verb
trebui,verb
veni,verb
merge,verb
alerga,verb
umbla,verb
călări,verb
înota,verb
cânta,verb
dansa,verb
juca,verb
mânca,verb
bea,verb
dormi,verb
trezi,verb
îmbrăca,verb
cumpăra,verb
vinde,verb
da,verb
lua,verb
ajuta,verb
construi,verb
distruge,verb
descoperi,verb
pierde,verb
găsi,verb
câștiga,verb
plăti,verb
privi,verb
asculta,verb
