words,pos
voda,noun
chlieb,noun
dom,noun
dieťa,noun
práca,noun
život,noun
priateľ,noun
svet,noun
čas,noun
deň,noun
noc,noun
človek,noun
žena,noun
muž,noun
zem,noun
nebo,noun
slnko,noun
mesiac,noun
oheň,noun
vietor,noun
dážď,noun
sneh,noun
les,noun
pole,noun
mesto,noun
ulica,noun
rieka,noun
more,noun
hora,noun
kameň,noun
strom,noun
kvet,noun
vták,noun
mačka,noun
pes,noun
kôň,noun
krava,noun
prasa,noun
ryba,noun
kura,noun
mlieko,noun
víno,noun
čaj,noun
káva,noun
cukor,noun
soľ,noun
maslo,noun
kniha,noun
list,noun
hudba,noun
umenie,noun
história,noun
veda,noun
zákon,noun
moc,noun
sloboda,noun
mier,noun
vojna,noun
víťazstvo,noun
hrdina,noun
lekár,noun
učiteľ,noun
študent,noun
rodič,noun
brat,noun
sestra,noun
deti,noun
matka,noun
otec,noun
starý otec,noun
stará mama,noun
priateľka,noun
láska,noun
nádej,noun
radosť,noun
smútok,noun
hnev,noun
strach,noun
sen,noun
pamäť,noun
myšlienka,noun
rozum,noun
duša,noun
srdce,noun
telo,noun
myseľ,noun
vôľa,noun
odvaha,noun
krása,noun
pravda,noun
dobro,noun
zlo,noun
veľký,adjective
malý,adjective
nový,adjective
starý,adjective
pekný,adjective
škaredý,adjective
dobrý,adjective
zlý,adjective
biely,adjective
čierny,adjective
červený,adjective
zelený,adjective
žltý,adjective
modrý,adjective
rýchly,adjective
pomalý,adjective
silný,adjective
slabý,adjective
vysoký,adjective
nízky,adjective
teplý,adjective
studený,adjective
ťažký,adjective
ľahký,adjective
čistý,adjective
špinavý,adjective
bohatý,adjective
chudobný,adjective
múdry,adjective
hlúpy,adjective
odvážny,adjective
zbabelý,adjective
šťastný,adjective
smutný,adjective
zdravý,adjective
chorý,adjective
mladý,adjective
starý,adjective
slobodný,adjective
otrok,adjective
živý,adjective
mŕtvy,adjective
dôležitý,adjective
nedôležitý,adjective
pravdivý,adjective
falošný,adjective
pohodlný,adjective
nepohodlný,adjective
byť,verb
mať,verb
robiť,verb
hovoriť,verb
čítať,verb
písať,verb
učiť sa,verb
pracovať,verb
žiť,verb
milovať,verb
nenávidieť,verb
vidieť,verb
počuť,verb
myslieť,verb
vedieť,verb
chcieť,verb
môcť,verb
potrebovať,verb
prísť,verb
ísť,verb
bežať,verb
chodiť,verb
jazdievať,verb
plávať,verb
spievať,verb
tancovať,verb
hrať sa,verb
jesť,verb
piť,verb
spať,verb
vstávať,verb
obliekať sa,verb
kúpiť,verb
predávať,verb
dávať,verb
brať,verb
pomáhať,verb
stavať,verb
ničiť,verb
objavovať,verb
strácať,verb
nájsť,verb
zarábať,verb
platiť,verb
pozerať,verb
počúvať,verb
