words,pos
voda,noun
kruh,noun
dom,noun
otrok,noun
delo,noun
življenje,noun
prijatelj,noun
svet,noun
čas,noun
dan,noun
noč,noun
človek,noun
ženska,noun
moški,noun
zemlja,noun
nebo,noun
sonce,noun
luna,noun
ogenj,noun
veter,noun
dež,noun
sneg,noun
gozd,noun
polje,noun
mesto,noun
ulica,noun
reka,noun
morje,noun
gora,noun
kamen,noun
drevo,noun
roža,noun
ptica,noun
mačka,noun
pes,noun
konj,noun
krava,noun
svinja,noun
riba,noun
piščanec,noun
mleko,noun
vino,noun
čaj,noun
kava,noun
sladkor,noun
sol,noun
maslo,noun
knjiga,noun
pismo,noun
glasba,noun
umetnost,noun
zgodovina,noun
znanost,noun
zakon,noun
oblast,noun
svoboda,noun
mir,noun
vojna,noun
zmaga,noun
junak,noun
zdravnik,noun
učitelj,noun
student,noun
starš,noun
brat,noun
sestra,noun
otroci,noun
mati,noun
oče,noun
dedek,noun
babica,noun
prijateljica,noun
ljubezen,noun
upanje,noun
veselje,noun
žalost,noun
jeza,noun
strah,noun
sanje,noun
spomin,noun
misel,noun
razum,noun
duša,noun
srce,noun
telo,noun
um,noun
volja,noun
pogum,noun
lepota,noun
resnica,noun
dobrota,noun
zlo,noun
velik,adjective
majhen,adjective
nov,adjective
star,adjective
lep,adjective
grd,adjective
dober,adjective
slab,adjective
bel,adjective
črn,adjective
rdeč,adjective
zelen,adjective
rumen,adjective
moder,adjective
hiter,adjective
počasen,adjective
močan,adjective
šibek,adjective
visok,adjective
nizek,adjective
topel,adjective
hladen,adjective
težek,adjective
lahek,adjective
čist,adjective
umazan,adjective
bogat,adjective
reven,adjective
pameten,adjective
neumen,adjective
pogumen,adjective
strahopeten,adjective
srečen,adjective
žalosten,adjective
zdrav,adjective
bolan,adjective
mlad,adjective
star,adjective
svoboden,adjective
suženj,adjective
živ,adjective
mrtev,adjective
pomemben,adjective
nepomemben,adjective
resničen,adjective
lažen,adjective
udoben,adjective
neudoben,adjective
biti,verb
imeti,verb
delati,verb
govoriti,verb
brati,verb
pisati,verb
učiti se,verb
delati,verb
živeti,verb
ljubiti,verb
sovražiti,verb
videti,verb
slišati,verb
misliti,verb
vedeti,verb
hoteti,verb
moči,verb
potrebovati,verb
priti,verb
iti,verb
teči,verb
hoditi,verb
jahati,verb
plavati,verb
peti,verb
plesati,verb
igrati se,verb
jesti,verb
piti,verb
spati,verb
vstajati,verb
oblačiti se,verb
kupiti,verb
prodati,verb
dati,verb
vzeti,verb
pomagati,verb
graditi,verb
rušiti,verb
odkrivati,verb
izgubiti,verb
najti,verb
zaslužiti,verb
plačati,verb
gledati,verb
poslušati,verb
