words,pos
su,noun
ekmek,noun
ev,noun
çocuk,noun
iş,noun
hayat,noun
arkadaş,noun
dünya,noun
zaman,noun
gün,noun
gece,noun
insan,noun
kadın,noun
erkek,noun
toprak,noun
gök,noun
güneş,noun
ay,noun
ateş,noun
rüzgar,noun
yağmur,noun
kar,noun
orman,noun
tarla,noun
şehir,noun
sokak,noun
nehir,noun
deniz,noun
dağ,noun
taş,noun
ağaç,noun
çiçek,noun
kuş,noun
kedi,noun
köpek,noun
at,noun
inek,noun
domuz,noun
balık,noun
tavuk,noun
süt,noun
şarap,noun
çay,noun
kahve,noun
şeker,noun
tuz,noun
tereyağı,noun
kitap,noun
mektup,noun
müzik,noun
sanat,noun
tarih,noun
bilim,noun
yasa,noun
güç,noun
özgürlük,noun
barış,noun
savaş,noun
zafer,noun
kahraman,noun
doktor,noun
öğretmen,noun
öğrenci,noun
ebeveyn,noun
kardeş,noun
kız kardeş,noun
çocuklar,noun
anne,noun
baba,noun
dede,noun
nine,noun
arkadaş kız,noun
aşk,noun
umut,noun
sevinç,noun
üzüntü,noun
öfke,noun
korku,noun
rüya,noun
hatıra,noun
düşünce,noun
akıl,noun
ruh,noun
kalp,noun
vücut,noun
zihin,noun
irade,noun
cesaret,noun
güzellik,noun
gerçek,noun
iyilik,noun
kötülük,noun
büyük,adjective
küçük,adjective
yeni,adjective
eski,adjective
güzel,adjective
çirkin,adjective
iyi,adjective
kötü,adjective
beyaz,adjective
siyah,adjective
kırmızı,adjective
yeşil,adjective
sarı,adjective
mavi,adjective
hızlı,adjective
yavaş,adjective
güçlü,adjective
zayıf,adjective
uzun,adjective
kısa,adjective
sıcak,adjective
soğuk,adjective
ağır,adjective
hafif,adjective
temiz,adjective
kirli,adjective
zengin,adjective
fakir,adjective
akıllı,adjective
aptal,adjective
cesur,adjective
korkak,adjective
mutlu,adjective
üzgün,adjective
sağlıklı,adjective
hasta,adjective
genç,adjective
yaşlı,adjective
özgür,adjective
köle,adjective
diri,adjective
ölü,adjective
önemli,adjective
önemsiz,adjective
gerçek,adjective
yanlış,adjective
rahat,adjective
rahatsız,adjective
olmak,verb
sahip olmak,verb
yapmak,verb
konuşmak,verb
okumak,verb
yazmak,verb
öğrenmek,verb
çalışmak,verb
yaşamak,verb
sevmek,verb
nefret etmek,verb
görmek,verb
duymak,verb
düşünmek,verb
bilmek,verb
istemek,verb
yapabilmek,verb
ihtiyaç duymak,verb
gelmek,verb
gitmek,verb
koşmak,verb
yürümek,verb
binmek,verb
yüzmek,verb
şarkı söylemek,verb
dans etmek,verb
oynamak,verb
yemek,verb
içmek,verb
uyumak,verb
uyanmak,verb
giyinmek,verb
satın almak,verb
satmak,verb
vermek,verb
almak,verb
yardım etmek,verb
inşa etmek,verb
yıkmak,verb
keşfetmek,verb
kaybetmek,verb
bulmak,verb
kazanmak,verb
ödemek,verb
bakmak,verb
dinlemek,verb
