words,pos
dŵr,noun
bara,noun
cartref,noun
plentyn,noun
gwaith,noun
bywyd,noun
ffrind,noun
byd,noun
amser,noun
dydd,noun
nos,noun
person,noun
menyw,noun
dyn,noun
daear,noun
awyr,noun
haul,noun
lleuad,noun
tân,noun
gwynt,noun
glaw,noun
eira,noun
coedwig,noun
cae,noun
dinas,noun
stryd,noun
afon,noun
môr,noun
mynydd,noun
carreg,noun
coeden,noun
blodyn,noun
aderyn,noun
cath,noun
ci,noun
ceffyl,noun
buwch,noun
mochyn,noun
pysgodyn,noun
iâr,noun
llaeth,noun
gwin,noun
te,noun
coffi,noun
siwgr,noun
halen,noun
menyn,noun
llyfr,noun
llythyr,noun
cerddoriaeth,noun
celf,noun
hanes,noun
gwyddoniaeth,noun
cyfraith,noun
pŵer,noun
rhyddid,noun
heddwch,noun
rhyfel,noun
buddugoliaeth,noun
arwr,noun
meddyg,noun
athro,noun
myfyriwr,noun
rhiant,noun
brawd,noun
chwaer,noun
plant,noun
mam,noun
tad,noun
taid,noun
nain,noun
ffrind benyw,noun
cariad,noun
gobaith,noun
llawenydd,noun
tristwch,noun
dicter,noun
ofn,noun
breuddwyd,noun
cof,noun
meddwl,noun
rheswm,noun
enaid,noun
calon,noun
corff,noun
meddwl,noun
ewyllys,noun
dewrder,noun
harddwch,noun
gwirionedd,noun
daioni,noun
drygioni,noun
mawr,adjective
bach,adjective
newydd,adjective
hen,adjective
prydferth,adjective
hyll,adjective
da,adjective
drwg,adjective
gwyn,adjective
du,adjective
coch,adjective
gwyrdd,adjective
melyn,adjective
glas,adjective
cyflym,adjective
araf,adjective
cryf,adjective
gwan,adjective
tal,adjective
byr,adjective
cynnes,adjective
oer,adjective
trwm,adjective
ysgafn,adjective
glân,adjective
brwnt,adjective
cyfoethog,adjective
tlawd,adjective
clyfar,adjective
twp,adjective
dewr,adjective
llwfr,adjective
hapus,adjective
trist,adjective
iach,adjective
sâl,adjective
ifanc,adjective
hen,adjective
rhydd,adjective
caethwas,adjective
byw,adjective
marw,adjective
pwysig,adjective
dibwys,adjective
gwir,adjective
ffug,adjective
cyfforddus,adjective
anghyfforddus,adjective
bod,verb
cael,verb
gwneud,verb
siarad,verb
darllen,verb
ysgrifennu,verb
dysgu,verb
gweithio,verb
byw,verb
caru,verb
casáu,verb
gweld,verb
clywed,verb
meddwl,verb
gwybod,verb
eisiau,verb
gallu,verb
angen,verb
dod,verb
mynd,verb
rhedeg,verb
cerdded,verb
marchogaeth,verb
nofio,verb
canu,verb
dawnsio,verb
chwarae,verb
bwyta,verb
yfed,verb
cysgu,verb
deffro,verb
gwisgo,verb
prynu,verb
gwerthu,verb
rhoi,verb
cymryd,verb
helpu,verb
adeiladu,verb
dinistrio,verb
darganfod,verb
colli,verb
canfod,verb
ennill,verb
talu,verb
edrych,verb
gwrando,verb
